TGBK Milk Tea(3 Topppings), Original milk tea with 3 toppings in one, 90
Konjac Milk Tea, Milk tea from Taipei combine with new the newest topping , 90
Glass Jelley Honey Black Tea, Black tea with green jelley and 100% Honey, 105
Brown Sugar Milk Tea, ,75
Brown Sugar Fresh Milk, ,85
Brown Sugar Black Tea Latte, , 85
Bubble Black Tea, ,55
Bubble Green Tea, ,55
Golden Bubble Milk tea, ,70
Golden Bubble Green Milk tea, ,70
Grass Jelly Milk Tea, ,70
Passion Fruit Aloe Vera, ,80
Assam Black Tea, ,45
Jasmine Green Tea, ,40
Golden Oolong Tea, ,45 
Plum Green Tea, ,60
Honey Green Tea, ,60
Passion Fruit Green Tea, ,60
Ovaltine Latte, Ovaltine with Fresh milk , 95
Cacao Barry Latte, Cacao 100% with Fresh milk, 95 
Black Tea Latte, Black tea with Fresh milk, 70
Green Tea Latte, Jasmine tea with Fresh milk, 70
Oolong Tea Latte, Oolong tea with Fresh milk, 70
Matcha Latte, Matcha tea with Fresh milk, 80
Taro Q Fresh Milk, , 100
Golden Bubble Fresh Milk, , 80
Grass Jelly Fresh Milk, , 90
Milk Tea, , 60
Green Milk Tea, , 60
Oolong Milk Tea, , 60
Honey Milk Tea, , 70
Hezelnut Milk Tea, , 70
Caramel Milk Tea, , 70
Cacao Barry, , 70
Ovaltine, , 70
Chocolate Milk, , 70
Matcha Macchiato, , 75
Black Tea Macchiato, , 60
Green Tea Macchiato, , 60
Oolong Tea Macchiato, , 75
Caramel Black Tea Macchiato, , 75
Cacao Barry Macchiato, , 85
Ovaltine Macchiato, , 85
KOI Café, , 80
Golden Bubble KOI Café, , 90
Café Macchiato, , 95
